ID,PRODUCTOS ,Eroski,BM
1,ABRILLANTADOR LAVAVAJILLAS,2.89,2.89
2,ACEITE GIRASOL,3.75,3.75
3,ACEITE OLIVA,6.95,6.95
4,ACEITUNA NEGRA SIN HUESO,1.95,1.95
5,ACEITUNA RELLENA ANCHOA,5.28,5.28
6,AGUACATE ,3.49,3.49
7,AJO,1.96,1.96
8,ALCACHOFA CORAZONES GRANDES ,6.19,6.19
9,ALMENDRA CRUDA ,2.89,2.89
10,ALUBIA COCIDA BLANCA,1.35,1.35
11,ANCHOA,4.5,4.5
12,ANCHOA FILETE ACEITE OLIVA,,
13,ARANDANOS ,3.49,3.49
14,ARROZ BOMBA,3.95,3.95
15,ATUN CLARO EN ACEITE OLIVA ,4.79,4.79
16,AVELLANA TOSTADA PELADA SIN SA,3.05,3.05
17,AZUCAR BLANQUILLA,1.35,1.35
18,BOLSA BASURA,1.75,1.75
19,BONITO ,,
20,BONITO CONSERVA,0.0,0.0
21,BORRAJA,2.4,2.4
22,BROCOLI,1.48,1.48
23,CACAHUETE TOSTADO ,1.6,1.6
24,CALABACIN,1.0,1.0
25,CALABAZA,2.6,2.6
26,CALABAZA CACAHUETE,1.99,1.99
27,CARNE PICADA VACUNO,4.29,4.29
28,CEBOLLA BLANCA,1.35,1.35
29,CEBOLLETA ,1.29,1.29
30,CEREZAS,0.0,0.0
31,CERVEZA,13.45,13.45
32,CERVEZA 0,8.45,8.45
33,CHAMPIÑON ENTERO CONSERVA,1.13,1.13
34,CHAMPIÑONES,2.07,2.07
35,CIRUELAS ,0.0,0.0
36,COGOLLOS CORAZONES,2.15,2.15
37,COLIFROR,2.84,2.84
38,CORVINA FRESCA ENTERA,0.0,0.0
39,DENTRIFICO,1.99,1.99
40,DESENGRASANTE  KH-7,2.9,2.9
41,DETERGENTE LIQUIDO,9.69,9.69
42,DORADA FRESCA ENTERA,5.39,5.39
43,ENTRECOT,15.87,15.87
44,ESPAGUETI PASTA,1.39,1.39
45,ESPARRAGO BLANCO MUY GRUESO 6/12 ,2.99,2.99
46,ESPINACAS,0.0,0.0
47,ESPUMA AFEITAR,2.53,2.53
48,FAIRY,,
49,GARBANZO COCIDO,1.39,1.39
50,GEL BAÑO ,0.0,0.0
51,GUINDILLAS,1.33,1.33
52,GUISANTE CONSERVA,3.09,3.09
53,GULAS ,9.99,9.99
54,HAMBURGUESA VACUNO,3.74,3.74
55,HAMBURGUESA VACUNO/CERDO,6.25,6.25
56,HARINA TRIGO,1.41,1.41
57,HUEVOS CAMPEROS ,3.45,3.45
58,HUEVOS CODORNIZ,1.6,1.6
59,HUEVOS XL,3.84,3.84
60,JAMON COCIDO EXTRA LONCHAS,2.19,2.19
61,JUDIA VERDE PLANA ,1.99,1.99
62,KETCHUP,3.99,3.99
63,KIWI VERDE,2.08,2.08
64,LANGOSTINO ,6.99,6.99
65,LANGOSTINO COCIDO,6.99,6.99
66,LAVAVAJILLAS MAQUINA GEL ,2.7,2.7
67,LECHE DESNATADA,1.09,1.09
68,LECHE SEMIDESNATADA,1.09,1.09
69,LECHUGA,1.19,1.19
70,LEGIA ,2.29,2.29
71,LENTEJA PARDINA,3.49,3.49
72,LIMON,1.35,1.35
73,LIMPIACRISTALES,1.15,1.15
74,LIMPIADOR SUELO,3.99,3.99
75,LIMPIADOR VITROCERAMICA ,0.0,0.0
76,LONGANIZA FRESCO,2.1,2.1
77,LUBINA FRESCA ENTERA ,14.99,14.99
78,MACARRON PASTA DE TRIGO,1.39,1.39
79,MANDARINA,2.29,2.29
80,MANTEQUILLA ,3.39,3.39
81,MANZANA FUYI,2.29,2.29
82,MANZANA GOLDEN,1.79,1.79
83,MAYONESA,2.25,2.25
84,MEJILLON ESCABECHE 8/12 PIEZAS EN ACEITE OLIVA ,3.0,3.0
85,MEJILLON FRESCO,0.0,0.0
86,MELOCOTON ,,
87,MELON,5.98,5.98
88,MENESTRA VERDURA CONSERVA,4.35,4.35
89,MERLUZA FRESCA ENTERA ,16.43,16.43
90,MOSTAZA,1.85,1.85
91,NARANJA,1.69,1.69
92,NATA COCINA,1.75,1.75
93,NUEZ ,3.99,3.99
94,PANCETA LONCHAS,2.15,2.15
95,PAÑUELOS PAPEL BOLSILLO,1.73,1.73
96,PAPEL ALUMINIO ,4.1,4.1
97,PAPEL COCINA BLANCO DOBLE,3.37,3.37
98,PAPEL HIGIENICO DOBLE ROLLO 2 CAPAS,8.99,8.99
99,PATATA ENTERA CONSERVA,,
100,PATATA NUEVA,3.99,3.99
101,PAVO ,2.09,2.09
102,PECHUGA PAVO ,2.79,2.79
103,PEPINILLOS,2.69,2.69
104,PIMIENTO ASADO TIRAS,0.94,0.94
105,PIMIENTO ITALIANO ,1.25,1.25
106,PIMIENTO PIQUILLO ASADO ENTERO,1.29,1.29
107,PIMIENTO ROJO,2.0,2.0
108,PIÑA,3.98,3.98
109,PIPAS GIRASOL GIGANTES TOSTADAS CON SAL,2.19,2.19
110,PLATANO CANARIO,3.79,3.79
111,POCHA  COCIDA,3.89,3.89
112,POLLO ENTERO LIMPIO FRESCO,6.5,6.5
113,POLLO PECHUGA FILETES FRESCO,3.95,3.95
114,PUERRO ,2.55,2.55
115,QUESO EMMENTAL ,0.0,0.0
116,QUESO FRESCO ,4.49,4.49
117,"QUESO GOUDA TIERNO,",0.0,0.0
118,REPOLLO ,1.59,1.59
119,SALMON AHUMADO LONCHAS,3.87,3.87
120,SALMON FRESCO ,0.0,0.0
121,SALSA BECHAMEL ,4.27,4.27
122,SARDINA ACEITE OLIVA,1.59,1.59
123,SUAVIZANTE ROPA CONCENTRADO ,4.45,4.45
124,TALLARINES,1.39,1.39
125,TOMATE  CHERRY,3.5,3.5
126,TOMATE ENSALADA,1.28,1.28
127,TOMATE FRITO ACEITE OLIVA RECETA ARTESANA,1.7,1.7
128,TOMATE PERA,2.05,2.05
129,VINAGRE BALSAMICO MODENA,3.45,3.45
130,VINAGRE JEREZ,1.99,1.99
131,YOGUR GRIEGO NATURAL,2.39,2.39
132,ZANAHORIA,0.69,0.69
133,ZUMO NARANJA,0.0,0.0
134,JABON MANOS LIQUIDO ,0.8,0.8
