ID,PRODUCTOS ,Eroski,BM
1,ABRILLANTADOR LAVAVAJILLAS,2.89,5.78
2,ACEITE GIRASOL,2.79,2.69
3,ACEITE OLIVA,8.59,5.95
4,ACEITUNA NEGRA SIN HUESO,1.95,13.8
5,ACEITUNA RELLENA ANCHOA,5.28,13.8
6,AGUACATE ,3.59,5.49
7,AJO,1.96,5.8
8,ALCACHOFA CORAZONES GRANDES ,6.19,12.06
9,ALMENDRA CRUDA ,2.89,18.0
10,ALUBIA COCIDA BLANCA,1.35,2.75
11,ANCHOA,4.5,10.95
12,ANCHOA FILETE ACEITE OLIVA,0.0,137.6
13,ARANDANOS ,2.99,11.98
14,ARROZ BOMBA,5.85,3.95
15,ATUN CLARO EN ACEITE OLIVA ,4.8,25.31
16,AVELLANA TOSTADA PELADA SIN SA,3.05,9.25
17,AZUCAR BLANQUILLA,1.35,1.35
18,BOLSA BASURA,1.75,0.28
19,BONITO ,0.0,0.0
20,BONITO CONSERVA,0.0,0.0
21,BORRAJA,2.4,0.0
22,BROCOLI,1.48,2.95
23,CACAHUETE TOSTADO ,1.7,4.48
24,CALABACIN,0.9,3.19
25,CALABAZA,2.6,3.19
26,CALABAZA CACAHUETE,1.99,0.0
27,CARNE PICADA VACUNO,4.29,13.13
28,CEBOLLA BLANCA,1.55,1.65
29,CEBOLLETA ,1.29,2.65
30,CEREZAS,0.0,0.0
31,CERVEZA,15.85,2.27
32,CERVEZA 0,8.45,1.03
33,CHAMPIÑON ENTERO CONSERVA,1.13,5.21
34,CHAMPIÑONES,2.07,4.26
35,CIRUELAS ,0.0,0.0
36,COGOLLOS CORAZONES,1.99,5.45
37,COLIFROR,2.84,2.59
38,CORVINA FRESCA ENTERA,0.0,0.0
39,DENTRIFICO,1.99,2.66
40,DESENGRASANTE  KH-7,2.9,0.0
41,DETERGENTE LIQUIDO,9.75,4.87
42,DORADA FRESCA ENTERA,3.49,0.0
43,ENTRECOT,15.87,20.9
44,ESPAGUETI PASTA,1.39,3.48
45,ESPARRAGO BLANCO MUY GRUESO 6/12 ,2.99,0.0
46,ESPINACAS,0.0,0.0
47,ESPUMA AFEITAR,2.53,7.96
48,FAIRY,0.0,6.33
49,GARBANZO COCIDO,1.39,2.75
50,GEL BAÑO ,0.0,0.0
51,GUINDILLAS,1.33,30.0
52,GUISANTE CONSERVA,2.99,7.0
53,GULAS ,9.99,29.95
54,HAMBURGUESA VACUNO,3.74,29.95
55,HAMBURGUESA VACUNO/CERDO,6.25,10.83
56,HARINA TRIGO,1.41,1.44
57,HUEVOS CAMPEROS ,3.45,3.59
58,HUEVOS CODORNIZ,1.6,1.49
